TPC codegen census, configuration: tpcds-defaults
commit:      1917c854bae
java:        25.0.4.1
settings:    spark.sql.readSideCharPadding=true, statistics injected=false, spark.sql.codegen.hugeMethodLimit=65535, spark.sql.adaptive.enabled=false
under AQE:   the same walk with spark.sql.adaptive.enabled=true finds 0 stages in these queries
bands:       ok <= 8000 bytes < interpreted <= 65535 bytes < fallback

summary
  tpcds-v1.4      103 queries  1058 stages  ok 1058
  tpcds-v2.7       32 queries   497 stages  ok 497
  tpcds-mod        21 queries   132 stages  interpreted 1, ok 131; past 8000: q3

set	query	stage	broadcasts	bytes	constant pool	band	operators
tpcds-v1.4	q4	24	17	1936	312	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < BroadcastHashJoin < Filter < HashAggregate
tpcds-v1.4	q4	3	2	1302	389	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q4	1	0	492	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	1	0	307	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	7	2	458	246	ok	HashAggregate
tpcds-v1.4	q4	6	2	1302	389	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q4	4	0	492	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	1	0	307	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	11	2	446	251	ok	Filter < HashAggregate
tpcds-v1.4	q4	10	2	1302	389	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q4	8	0	492	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	15	2	392	246	ok	HashAggregate
tpcds-v1.4	q4	14	2	1302	389	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q4	12	0	492	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	19	2	446	251	ok	Filter < HashAggregate
tpcds-v1.4	q4	18	2	1302	389	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q4	16	0	492	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	23	2	392	246	ok	HashAggregate
tpcds-v1.4	q4	22	2	1302	389	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q4	20	0	492	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q5	15	7	496	255	ok	HashAggregate
tpcds-v1.4	q5	14	7	326	280	ok	HashAggregate < Expand
tpcds-v1.4	q5	4	2	537	280	ok	HashAggregate
tpcds-v1.4	q5	3	2	474	465	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Union < Project < Filter < ColumnarToRow < Project < Filter < ColumnarToRow
tpcds-v1.4	q5	1	0	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q5	2	0	342	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q5	8	2	537	280	ok	HashAggregate
tpcds-v1.4	q5	7	2	474	465	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Union < Project < Filter < ColumnarToRow < Project < Filter < ColumnarToRow
tpcds-v1.4	q5	6	0	342	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q5	13	3	537	280	ok	HashAggregate
tpcds-v1.4	q5	12	3	698	475	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Union < Project < Filter < ColumnarToRow < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q5	9	0	395	155	ok	ColumnarToRow
tpcds-v1.4	q5	11	0	342	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q6	8	5	156	224	ok	Filter < HashAggregate
tpcds-v1.4	q6	7	5	623	362	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q6	1	0	281	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q6	2	0	339	151	ok	Filter < ColumnarToRow
tpcds-v1.4	q6	1	0	288	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q6	2	0	244	242	ok	HashAggregate
tpcds-v1.4	q6	1	0	388	271	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q6	6	1	540	218	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q6	5	0	331	264	ok	Filter < HashAggregate
tpcds-v1.4	q6	4	0	430	362	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q7	6	4	852	278	ok	HashAggregate
tpcds-v1.4	q7	5	4	815	414	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q7	1	0	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q7	1	0	554	167	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q7	3	0	342	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q7	4	0	540	171	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q8	9	5	174	240	ok	HashAggregate
tpcds-v1.4	q8	8	5	613	383	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q8	1	0	374	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q8	2	0	481	174	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q8	7	2	244	244	ok	HashAggregate
tpcds-v1.4	q8	6	2	476	348	ok	HashAggregate < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q8	5	1	157	225	ok	Project < Filter < HashAggregate
tpcds-v1.4	q8	4	1	409	349	ok	HashAggregate < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q8	3	0	327	161	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q9	1	0	1417	164	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q9	2	0	656	243	ok	Project < HashAggregate
tpcds-v1.4	q9	1	0	374	236	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q9	2	0	656	243	ok	Project < HashAggregate
tpcds-v1.4	q9	1	0	375	236	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q9	2	0	656	243	ok	Project < HashAggregate
tpcds-v1.4	q9	1	0	375	236	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q9	2	0	656	243	ok	Project < HashAggregate
tpcds-v1.4	q9	1	0	375	236	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q9	2	0	656	243	ok	Project < HashAggregate
tpcds-v1.4	q9	1	0	375	236	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q10	10	8	431	230	ok	HashAggregate
tpcds-v1.4	q10	9	8	622	352	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < BroadcastHashJoin < BroadcastHashJoin < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q10	2	1	283	172	ok	Project < BroadcastHashJoin < ColumnarToRow
tpcds-v1.4	q10	1	0	418	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q10	4	1	283	172	ok	Project < BroadcastHashJoin < ColumnarToRow
tpcds-v1.4	q10	6	1	283	172	ok	Project < BroadcastHashJoin < ColumnarToRow
tpcds-v1.4	q10	7	0	424	147	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q10	8	0	902	189	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q11	16	11	1093	309	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < HashAggregate
tpcds-v1.4	q11	3	2	1250	426	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q11	1	0	382	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q11	1	0	307	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q11	7	2	378	248	ok	HashAggregate
tpcds-v1.4	q11	6	2	1250	426	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q11	4	0	382	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q11	1	0	307	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q11	11	2	403	253	ok	Filter < HashAggregate
tpcds-v1.4	q11	10	2	1250	426	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q11	8	0	382	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q11	15	2	378	248	ok	HashAggregate
tpcds-v1.4	q11	14	2	1250	426	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q11	12	0	382	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q12	6	2	529	143	ok	Project
tpcds-v1.4	q12	5	2	120	124	ok	Sort
tpcds-v1.4	q12	4	2	377	245	ok	HashAggregate
tpcds-v1.4	q12	3	2	587	371	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q12	1	0	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q12	1	0	881	199	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q13	7	5	590	235	ok	HashAggregate
tpcds-v1.4	q13	6	5	5002	311	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q13	1	0	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q13	1	0	214	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q13	2	0	920	178	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q13	4	0	937	208	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q13	5	0	384	142	ok	Filter < ColumnarToRow
tpcds-v1.4	q14a	80	19	362	280	ok	HashAggregate
tpcds-v1.4	q14a	79	19	411	320	ok	HashAggregate < Expand
tpcds-v1.4	q14a	26	13	439	277	ok	Project < Filter < HashAggregate
tpcds-v1.4	q14a	5	3	288	199	ok	HashAggregate
tpcds-v1.4	q14a	4	3	289	323	ok	HashAggregate < Union < Project < BroadcastHashJoin < ColumnarToRow < Project < BroadcastHashJoin < ColumnarToRow < Project < BroadcastHashJoin < ColumnarToRow
tpcds-v1.4	q14a	25	13	609	354	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	1	0	375	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q14a	11	9	474	167	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	10	8	247	276	ok	BroadcastHashJoin < HashAggregate
tpcds-v1.4	q14a	6	5	430	312	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	1	0	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q14a	4	3	564	163	ok	BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	3	2	480	183	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	1	0	370	142	ok	Filter < ColumnarToRow
tpcds-v1.4	q14a	9	2	480	183	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	23	1	425	166	ok	BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	52	3	439	277	ok	Project < Filter < HashAggregate
tpcds-v1.4	q14a	51	3	609	354	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	78	3	439	277	ok	Project < Filter < HashAggregate
tpcds-v1.4	q14a	77	3	609	354	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	52	17	747	305	ok	BroadcastHashJoin < Filter < HashAggregate
tpcds-v1.4	q14b	5	3	288	199	ok	HashAggregate
tpcds-v1.4	q14b	4	3	289	323	ok	HashAggregate < Union < Project < BroadcastHashJoin < ColumnarToRow < Project < BroadcastHashJoin < ColumnarToRow < Project < BroadcastHashJoin < ColumnarToRow
tpcds-v1.4	q14b	25	13	555	354	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	1	0	288	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q14b	1	0	446	139	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q14b	11	9	474	167	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	10	8	247	276	ok	BroadcastHashJoin < HashAggregate
tpcds-v1.4	q14b	6	5	430	312	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	1	0	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q14b	4	3	564	163	ok	BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	3	2	480	183	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	1	0	370	142	ok	Filter < ColumnarToRow
tpcds-v1.4	q14b	9	2	480	183	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	23	1	470	159	ok	BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	51	3	439	277	ok	Filter < HashAggregate
tpcds-v1.4	q14b	50	3	555	354	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	1	0	288	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q14b	1	0	446	139	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q15	5	3	174	240	ok	HashAggregate
tpcds-v1.4	q15	4	3	1098	383	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q15	1	0	374	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q15	1	0	281	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q15	2	0	460	174	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q16	12	3	233	184	ok	HashAggregate
tpcds-v1.4	q16	11	3	578	389	ok	HashAggregate < SortAggregate < SortAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < SortMergeJoin
tpcds-v1.4	q16	5	0	648	187	ok	Project < SortMergeJoin
tpcds-v1.4	q16	2	0	120	124	ok	Sort
tpcds-v1.4	q16	1	0	568	160	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q16	4	0	120	124	ok	Sort
tpcds-v1.4	q16	3	0	236	142	ok	Project < ColumnarToRow
tpcds-v1.4	q16	7	0	120	124	ok	Sort
tpcds-v1.4	q16	6	0	187	142	ok	Project < ColumnarToRow
tpcds-v1.4	q16	8	0	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q16	9	0	327	161	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q16	10	0	296	147	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q17	9	7	1595	329	ok	HashAggregate
tpcds-v1.4	q17	8	7	1241	476	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q17	1	0	328	161	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q17	1	0	455	151	ok	Filter < ColumnarToRow
tpcds-v1.4	q17	1	0	446	165	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q17	2	0	388	151	ok	Filter < ColumnarToRow
tpcds-v1.4	q17	6	0	341	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q17	7	0	391	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q18	8	6	1844	303	ok	HashAggregate
tpcds-v1.4	q18	7	6	1166	462	ok	HashAggregate < Expand < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q18	1	0	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q18	1	0	499	171	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q18	2	0	575	142	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q18	3	0	214	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q18	4	0	707	178	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q18	6	0	342	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q19	7	5	275	248	ok	HashAggregate
tpcds-v1.4	q19	6	5	624	384	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q19	1	0	461	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q19	2	0	639	177	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q19	3	0	281	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q19	4	0	432	174	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q19	5	0	432	174	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q20	6	2	529	143	ok	Project
tpcds-v1.4	q20	5	2	120	124	ok	Sort
tpcds-v1.4	q20	4	2	377	245	ok	HashAggregate
tpcds-v1.4	q20	3	2	587	371	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q20	1	0	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q20	1	0	881	199	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q21	5	3	595	258	ok	Filter < HashAggregate
tpcds-v1.4	q21	4	3	616	368	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q21	1	0	353	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q21	1	0	272	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q21	2	0	492	178	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q22	5	3	327	244	ok	HashAggregate
tpcds-v1.4	q22	4	3	663	412	ok	HashAggregate < Expand < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q22	1	0	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q22	2	0	699	186	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q22	3	0	214	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q23a	24	7	195	162	ok	HashAggregate
tpcds-v1.4	q23a	23	7	131	161	ok	HashAggregate
tpcds-v1.4	q23a	11	5	476	229	ok	Project < BroadcastHashJoin < Project < SortMergeJoin
tpcds-v1.4	q23a	6	3	120	124	ok	Sort
tpcds-v1.4	q23a	5	3	436	183	ok	Project < BroadcastHashJoin < ColumnarToRow
tpcds-v1.4	q23a	1	0	374	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q23a	4	2	195	229	ok	Project < Filter < HashAggregate
tpcds-v1.4	q23a	3	2	490	349	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q23a	1	0	421	142	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q23a	2	0	272	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q23a	9	1	314	306	ok	Sort < Project < Filter < HashAggregate
tpcds-v1.4	q23a	5	2	117	142	ok	HashAggregate
tpcds-v1.4	q23a	4	2	225	261	ok	HashAggregate < HashAggregate
tpcds-v1.4	q23a	3	2	477	330	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q23a	1	0	363	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q23a	8	1	380	325	ok	HashAggregate < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q23a	7	0	214	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q23a	22	2	476	229	ok	Project < BroadcastHashJoin < Project < SortMergeJoin
tpcds-v1.4	q23a	17	1	120	124	ok	Sort
tpcds-v1.4	q23a	16	1	436	183	ok	Project < BroadcastHashJoin < ColumnarToRow
tpcds-v1.4	q23a	20	0	314	306	ok	Sort < Project < Filter < HashAggregate
tpcds-v1.4	q23b	18	6	241	238	ok	HashAggregate
tpcds-v1.4	q23b	17	6	546	356	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < SortMergeJoin
tpcds-v1.4	q23b	6	3	120	124	ok	Sort
tpcds-v1.4	q23b	5	3	472	186	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q23b	1	0	374	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q23b	4	2	195	229	ok	Project < Filter < HashAggregate
tpcds-v1.4	q23b	3	2	490	349	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q23b	1	0	421	142	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q23b	2	0	272	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q23b	9	1	314	306	ok	Sort < Project < Filter < HashAggregate
tpcds-v1.4	q23b	5	2	117	142	ok	HashAggregate
tpcds-v1.4	q23b	4	2	225	261	ok	HashAggregate < HashAggregate
tpcds-v1.4	q23b	3	2	477	330	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q23b	1	0	363	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q23b	8	1	380	325	ok	HashAggregate < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q23b	7	0	214	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q23b	15	0	436	209	ok	Project < SortMergeJoin
tpcds-v1.4	q23b	11	0	120	124	ok	Sort
tpcds-v1.4	q23b	10	0	321	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q23b	14	0	314	306	ok	Sort < Project < Filter < HashAggregate
tpcds-v1.4	q23b	36	3	241	238	ok	HashAggregate
tpcds-v1.4	q23b	35	3	546	356	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < SortMergeJoin
tpcds-v1.4	q23b	24	1	120	124	ok	Sort
tpcds-v1.4	q23b	23	1	472	186	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q23b	27	0	314	306	ok	Sort < Project < Filter < HashAggregate
tpcds-v1.4	q24a	11	4	399	251	ok	Filter < HashAggregate
tpcds-v1.4	q24a	11	4	335	208	ok	HashAggregate
tpcds-v1.4	q24a	10	4	447	296	ok	HashAggregate < HashAggregate
tpcds-v1.4	q24a	9	4	1042	422	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < SortMergeJoin
tpcds-v1.4	q24a	2	0	120	124	ok	Sort
tpcds-v1.4	q24a	4	0	120	124	ok	Sort
tpcds-v1.4	q24a	6	0	684	192	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q24a	10	4	451	306	ok	HashAggregate < HashAggregate
tpcds-v1.4	q24a	9	4	1042	422	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < SortMergeJoin
tpcds-v1.4	q24a	2	0	120	124	ok	Sort
tpcds-v1.4	q24a	1	0	479	157	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q24a	4	0	120	124	ok	Sort
tpcds-v1.4	q24a	3	0	281	142	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q24a	5	0	679	180	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q24a	6	0	723	199	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q24a	7	0	528	177	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q24a	8	0	550	177	ok	Project < Filter < ColumnarToRow
