TPC codegen census, configuration: tpcds-defaults-stats
commit:      a821cc2e8d1
java:        25.0.4.1
settings:    spark.sql.readSideCharPadding=true, statistics injected=true, spark.sql.codegen.hugeMethodLimit=65535, spark.sql.adaptive.enabled=false
under AQE:   the same walk with spark.sql.adaptive.enabled=true finds 0 stages in these queries
bands:       ok <= 8000 bytes < interpreted <= 65535 bytes < fallback

summary
  tpcds-v1.4      103 queries  1586 stages  ok 1586
  tpcds-v2.7       32 queries   794 stages  ok 794
  tpcds-mod        21 queries   175 stages  interpreted 1, ok 174; past 8000: q3

set	query	stage	bytes	constant pool	band	operators
tpcds-v1.4	q10	10	357	180	ok	SortMergeJoin
tpcds-v1.4	q10	6	352	180	ok	SortMergeJoin
tpcds-v1.4	q10	2	120	124	ok	Sort
tpcds-v1.4	q10	1	346	142	ok	Filter < ColumnarToRow
tpcds-v1.4	q10	1	424	147	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q10	5	120	124	ok	Sort
tpcds-v1.4	q10	4	142	136	ok	Project < BroadcastHashJoin < ColumnarToRow
tpcds-v1.4	q10	1	418	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q10	9	120	124	ok	Sort
tpcds-v1.4	q10	8	142	136	ok	Project < BroadcastHashJoin < ColumnarToRow
tpcds-v1.4	q10	13	120	124	ok	Sort
tpcds-v1.4	q10	12	142	136	ok	Project < BroadcastHashJoin < ColumnarToRow
tpcds-v1.4	q10	18	120	124	ok	Sort
tpcds-v1.4	q10	17	902	189	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q11	35	804	222	ok	Project < SortMergeJoin
tpcds-v1.4	q11	26	403	200	ok	Project < SortMergeJoin
tpcds-v1.4	q11	17	330	200	ok	Project < SortMergeJoin
tpcds-v1.4	q11	8	120	124	ok	Sort
tpcds-v1.4	q11	7	403	253	ok	Filter < HashAggregate
tpcds-v1.4	q11	6	611	374	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q11	3	120	124	ok	Sort
tpcds-v1.4	q11	2	215	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q11	1	307	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q11	5	120	124	ok	Sort
tpcds-v1.4	q11	4	1083	204	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q11	16	120	124	ok	Sort
tpcds-v1.4	q11	15	378	248	ok	HashAggregate
tpcds-v1.4	q11	14	611	374	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q11	11	120	124	ok	Sort
tpcds-v1.4	q11	10	215	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q11	1	307	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q11	13	120	124	ok	Sort
tpcds-v1.4	q11	25	120	124	ok	Sort
tpcds-v1.4	q11	24	403	253	ok	Filter < HashAggregate
tpcds-v1.4	q11	23	611	374	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q11	20	120	124	ok	Sort
tpcds-v1.4	q11	19	215	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q11	22	120	124	ok	Sort
tpcds-v1.4	q11	34	120	124	ok	Sort
tpcds-v1.4	q11	33	378	248	ok	HashAggregate
tpcds-v1.4	q11	32	611	374	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q11	29	120	124	ok	Sort
tpcds-v1.4	q11	28	215	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q11	31	120	124	ok	Sort
tpcds-v1.4	q12	9	529	143	ok	Project
tpcds-v1.4	q12	8	120	124	ok	Sort
tpcds-v1.4	q12	7	377	245	ok	HashAggregate
tpcds-v1.4	q12	6	455	364	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q12	3	120	124	ok	Sort
tpcds-v1.4	q12	2	215	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q12	1	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q12	5	120	124	ok	Sort
tpcds-v1.4	q12	4	881	199	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q13	13	590	235	ok	HashAggregate
tpcds-v1.4	q13	12	1449	276	ok	HashAggregate < Project < BroadcastHashJoin < Project < SortMergeJoin
tpcds-v1.4	q13	8	120	124	ok	Sort
tpcds-v1.4	q13	7	2831	201	ok	Project < SortMergeJoin
tpcds-v1.4	q13	4	120	124	ok	Sort
tpcds-v1.4	q13	3	1411	154	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q13	1	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q13	2	384	142	ok	Filter < ColumnarToRow
tpcds-v1.4	q13	6	120	124	ok	Sort
tpcds-v1.4	q13	5	937	207	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q13	10	120	124	ok	Sort
tpcds-v1.4	q13	9	920	178	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q13	11	214	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q14a	116	362	280	ok	HashAggregate
tpcds-v1.4	q14a	115	411	320	ok	HashAggregate < Expand
tpcds-v1.4	q14a	38	439	277	ok	Project < Filter < HashAggregate
tpcds-v1.4	q14a	5	288	199	ok	HashAggregate
tpcds-v1.4	q14a	4	142	250	ok	HashAggregate < Union < Project < BroadcastHashJoin < ColumnarToRow < Project < BroadcastHashJoin < ColumnarToRow < Project < BroadcastHashJoin < ColumnarToRow
tpcds-v1.4	q14a	37	236	250	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	1	375	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q14a	17	290	133	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	16	1130	207	ok	SortMergeJoin
tpcds-v1.4	q14a	11	120	124	ok	Sort
tpcds-v1.4	q14a	10	244	242	ok	HashAggregate
tpcds-v1.4	q14a	9	275	271	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	1	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q14a	8	911	203	ok	SortMergeJoin
tpcds-v1.4	q14a	3	120	124	ok	Sort
tpcds-v1.4	q14a	2	415	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q14a	7	120	124	ok	Sort
tpcds-v1.4	q14a	6	215	142	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	5	370	142	ok	Filter < ColumnarToRow
tpcds-v1.4	q14a	15	120	124	ok	Sort
tpcds-v1.4	q14a	14	215	142	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	36	180	133	ok	BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	76	439	277	ok	Project < Filter < HashAggregate
tpcds-v1.4	q14a	75	236	250	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14a	114	439	277	ok	Project < Filter < HashAggregate
tpcds-v1.4	q14a	113	236	250	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	76	320	280	ok	BroadcastHashJoin < Filter < HashAggregate
tpcds-v1.4	q14b	5	288	199	ok	HashAggregate
tpcds-v1.4	q14b	4	142	250	ok	HashAggregate < Union < Project < BroadcastHashJoin < ColumnarToRow < Project < BroadcastHashJoin < ColumnarToRow < Project < BroadcastHashJoin < ColumnarToRow
tpcds-v1.4	q14b	37	236	250	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	1	288	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q14b	1	446	139	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q14b	17	290	133	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	16	1130	207	ok	SortMergeJoin
tpcds-v1.4	q14b	11	120	124	ok	Sort
tpcds-v1.4	q14b	10	244	242	ok	HashAggregate
tpcds-v1.4	q14b	9	275	271	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	1	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q14b	8	911	203	ok	SortMergeJoin
tpcds-v1.4	q14b	3	120	124	ok	Sort
tpcds-v1.4	q14b	2	415	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q14b	7	120	124	ok	Sort
tpcds-v1.4	q14b	6	215	142	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	5	370	142	ok	Filter < ColumnarToRow
tpcds-v1.4	q14b	15	120	124	ok	Sort
tpcds-v1.4	q14b	14	215	142	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	36	345	133	ok	BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	75	439	277	ok	Filter < HashAggregate
tpcds-v1.4	q14b	74	236	250	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q14b	1	288	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q14b	1	446	139	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q15	11	174	240	ok	HashAggregate
tpcds-v1.4	q15	10	938	372	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q15	3	120	124	ok	Sort
tpcds-v1.4	q15	2	215	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q15	1	374	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q15	9	120	124	ok	Sort
tpcds-v1.4	q15	8	308	187	ok	Project < SortMergeJoin
tpcds-v1.4	q15	5	120	124	ok	Sort
tpcds-v1.4	q15	4	281	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q15	7	120	124	ok	Sort
tpcds-v1.4	q15	6	460	174	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q16	16	233	184	ok	HashAggregate
tpcds-v1.4	q16	15	275	337	ok	HashAggregate < HashAggregate
tpcds-v1.4	q16	14	376	362	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q16	11	120	124	ok	Sort
tpcds-v1.4	q16	10	373	175	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < SortMergeJoin
tpcds-v1.4	q16	5	648	187	ok	Project < SortMergeJoin
tpcds-v1.4	q16	2	120	124	ok	Sort
tpcds-v1.4	q16	1	582	160	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q16	1	296	147	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q16	1	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q16	4	120	124	ok	Sort
tpcds-v1.4	q16	3	236	142	ok	Project < ColumnarToRow
tpcds-v1.4	q16	7	120	124	ok	Sort
tpcds-v1.4	q16	6	187	142	ok	Project < ColumnarToRow
tpcds-v1.4	q16	13	120	124	ok	Sort
tpcds-v1.4	q16	12	327	161	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q17	18	1595	331	ok	HashAggregate
tpcds-v1.4	q17	17	648	444	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q17	13	120	124	ok	Sort
tpcds-v1.4	q17	12	544	187	ok	Project < SortMergeJoin
tpcds-v1.4	q17	9	120	124	ok	Sort
tpcds-v1.4	q17	8	662	199	ok	Project < SortMergeJoin
tpcds-v1.4	q17	4	120	124	ok	Sort
tpcds-v1.4	q17	3	380	142	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q17	1	328	161	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q17	2	341	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q17	7	120	124	ok	Sort
tpcds-v1.4	q17	6	325	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q17	1	446	165	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q17	11	120	124	ok	Sort
tpcds-v1.4	q17	10	391	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q17	16	120	124	ok	Sort
tpcds-v1.4	q17	15	270	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q18	20	1844	301	ok	HashAggregate
tpcds-v1.4	q18	19	836	442	ok	HashAggregate < Expand < Project < SortMergeJoin
tpcds-v1.4	q18	8	120	124	ok	Sort
tpcds-v1.4	q18	7	448	179	ok	Project < BroadcastHashJoin < Project < SortMergeJoin
tpcds-v1.4	q18	3	120	124	ok	Sort
tpcds-v1.4	q18	2	325	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q18	1	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q18	5	120	124	ok	Sort
tpcds-v1.4	q18	4	499	171	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q18	6	342	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q18	18	120	124	ok	Sort
tpcds-v1.4	q18	17	426	187	ok	Project < SortMergeJoin
tpcds-v1.4	q18	14	120	124	ok	Sort
tpcds-v1.4	q18	13	350	178	ok	Project < SortMergeJoin
tpcds-v1.4	q18	10	120	124	ok	Sort
tpcds-v1.4	q18	9	575	142	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q18	12	120	124	ok	Sort
tpcds-v1.4	q18	11	214	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q18	16	120	124	ok	Sort
tpcds-v1.4	q18	15	707	178	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q19	13	275	248	ok	HashAggregate
tpcds-v1.4	q19	12	685	372	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q19	5	120	124	ok	Sort
tpcds-v1.4	q19	4	290	140	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q19	1	375	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q19	1	639	177	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q19	3	432	174	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q19	11	120	124	ok	Sort
tpcds-v1.4	q19	10	308	187	ok	Project < SortMergeJoin
tpcds-v1.4	q19	7	120	124	ok	Sort
tpcds-v1.4	q19	6	281	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q19	9	120	124	ok	Sort
tpcds-v1.4	q19	8	432	174	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q20	9	529	143	ok	Project
tpcds-v1.4	q20	8	120	124	ok	Sort
tpcds-v1.4	q20	7	377	245	ok	HashAggregate
tpcds-v1.4	q20	6	455	364	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q20	3	120	124	ok	Sort
tpcds-v1.4	q20	2	215	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q20	1	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q20	5	120	124	ok	Sort
tpcds-v1.4	q20	4	881	199	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q21	5	595	258	ok	Filter < HashAggregate
tpcds-v1.4	q21	4	295	288	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q21	1	353	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q21	1	492	178	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q21	3	272	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q22	8	327	244	ok	HashAggregate
tpcds-v1.4	q22	7	446	408	ok	HashAggregate < Expand < Project < SortMergeJoin
tpcds-v1.4	q22	4	120	124	ok	Sort
tpcds-v1.4	q22	3	235	140	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q22	1	341	135	ok	Project < Filter < ColumnarToRow
